Identifier,Edition Statement,Place of Publication,Date of Publication,Publisher,Title,Author,Contributors,Corporate Author,Corporate Contributors,Former owner,Engraver,Issuance type,Flickr URL,Shelfmarks
000000206,,London,1879 [1878],S. Tinsley & Co.,Walter Forbes. [A novel.] By A. A,A. A.,FORBES,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000000206,British Library HMNTS 12641.b.30.
000000216,,London; Virtue & Yorston,1868,Virtue & Co.,All for Greed. [A novel. The dedication signed: A. A. A.,A.,BLAZE DE BURY,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000000216,British Library HMNTS 12626.cc.2.
000000218,,London,1869,Bradbury,Love the Avenger. By the author of “All for Greed.” [The dedication signed: A. A. A.,A.,BLAZE DE BURY,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000000218,British Library HMNTS 12625.dd.1.
000000472,,London,1851,James Darling,Welsh Sketches,A.,Appleyard,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000000472,British Library HMNTS 10369.bbb.15.
000000480,A new edition,London,1857,Wertheim & Macintosh,[The World in which I live,A.,BROOME,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000000480,British Library HMNTS 9007.d.28.
000000481,Fourth edition,London,1875,William Macintosh,[The World in which I live,A.,BROOME,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000000481,British Library HMNTS 9006.ee.10.
000000519,,London,1872,The Author,Lagonells. By the author of Darmayne (F. E. A. [i.e. Florence Emily Ashley]),A.,ASHLEY,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000000519,British Library HMNTS 12637.e.3.
000000667,,pp. 40. G. Bryan & Co: Oxford,,,The Coming of Spring,A.,ANDREWS,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000000667,British Library HMNTS 011652.g.73.
000000874,,London],1676,,A Warning to the inhabitants of England,Remaʿ.,ADAMS,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000000874,British Library HMNTS 11645.bb.42.
000001143,,London,1679,,A Satyr against Vertue. (A poem: supposed to be spoken by a Town-Hector. [By John Oldham. The preface signed: T. A.]),A.,OLDHAM,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000001143,British Library HMNTS 11602.ee.10.(2.)
000001280,,Coventry,1802,Printed by J. Turner,An Account of the many and great Loans,,CARTE,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000001280,British Library HMNTS 1430.g.17.
000001808,,Christiania,1859,,Erindringer som Bidrag til Norges Historie fra 1800-1815. Anden Udgave ... Udgivet med nogle Rettelser og Tillæg af Christian C. A. Lange. Med Forfatterens Portraet,AALL,AALL,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000001808,British Library HMNTS 9425.cc.37.
000001905,,Firenze,1888,,Gli Studi storici in terra d'Otranto ... Frammenti estratti in gran parte dall' Archivio Storico Italiano ... a cura e spese di L(uigi) G(iuseppe) D(e) S(imone),AAR,S.,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000001905,British Library HMNTS 10136.g.22.
000001929,,Amsterdam,1839,,De Aardbol. Magazijn van hedendaagsche land- en volkenkunde ... Met platen en kaarten. [Deel 4-9 by P. H. W.],,WITKAMP,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000001929,British Library HMNTS 10002.g.16-19.
000002836,,Savona,1897,,Cronache Savonesi dal 1500 al 1570 ... Accresciute di documenti inediti pubblicate e annotate dal dott. G. Assereto,ABATE,ASSERETO,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000002836,British Library HMNTS 10136.h.24.
000002854,,London,1865,E. Moxon & Co.,See-Saw; a novel ... Edited [or rather,ABATI,READE,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000002854,British Library HMNTS 12623.bbb.12.
000002956,,Paris,1860-63,,Géodésie d'une partie de la Haute Éthiopie,ABBADIE,RADAU,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000002956,British Library HMNTS 10096.i.19.
000002957,,Paris,1873,,[With eleven maps.],ABBADIE,RADAU,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000002957,British Library HMNTS 10095.i.13.
000003017,Nueva edicion,Puerto-Rico,1866,,[Historia geográfica,ABBAD Y LASIERRA,ACOSTA Y CALBO,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000003017,British Library HMNTS 10480.h.18.
000003131,,New York,1899,W. Abbatt,The Crisis of the Revolution,ABBATT,ANDRÉ,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000003131,British Library HMNTS 9603.g.14.
000004598,,Hull,1814,The Author,Peace: a lyric poem. [With prefatory address by F. Wrangham?],ABBOTT,WRANGHAM,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000004598,British Library HMNTS 11641.f.1.
000004884,,London,1820,J. Hatchard & Son,Abdallah; or,,BARHAM,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000004884,British Library HMNTS 994.l.1.(7.)
000004976,[Another edition.] Abdollatiphi historiæ Ægypti compendium ... Partim ipse vertit,Oxonii,1800,J. Cooke,[Abdollatiphi Historiæ Ægypti compendium. [With a Latin version by Edward Pocock the younger.] Arab. & Lat.],,WHITE,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000004976,British Library HMNTS 983.e.6.|British Library HMNTS 148.d.4.|British Library HMNTS G.15137.
000005382,,London,1847,Punch Office,The Comic History of England ... With ... coloured etchings,A'BECKETT,LEECH,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000005382,British Library HMNTS C.131.d.16.|British Library HMNTS 9505.d.3.
000005385,[Another edition.] Illustrated by John Leech.,London,[1897?],Bradbury,[The comic history of England ... With twenty coloured etchings,A'BECKETT,LEECH,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000005385,British Library HMNTS 9503.f.4.
000005389,[Another edition.],London,[1897?],Bradbury,[The Comic History of Rome ... Illustrated by John Leech.],A'BECKETT,LEECH,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000005389,British Library HMNTS 9039.i.11.
000005432,,Milano,1893,,Signa: opera in tre atti [founded on the novel entitled: “Signa” by Ouida] ... Traduzione ritmica di G. Mazzucato,A'BECKETT,MAZZUCATO,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000005432,British Library HMNTS 11779.g.8.(10.)
000006036,,London,1805,C. & R. Baldwin,The Venetian Outlaw,,ELLISTON,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000006036,British Library HMNTS 642.i.25.|British Library HMNTS 164.g.68.
000006821,,Aberdeen,1837,J. Davidson & Co.,Description of the Coast between Aberdeen and Leith. [By William Duncan.]: Appendix,,DUNCAN,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000006821,British Library HMNTS 797.d.2.
000007521,,Wien,1896,,Aus Kaukasischen Ländern. Reisebriefe von H. Abich. Herausgegeben von dessen Witwe (A. Abich),ABICH,ABICH,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000007521,British Library HMNTS 10077.h.21.
000007630,,Abingdon,1898,W. H. Hooke,Selections from the Municipal Chronicles of the Borough of Abingdon from A.D. 1555 to A.D. 1897. Edited by B. Challenor,,CHALLENOR,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000007630,British Library HMNTS 10352.dd.26.
000008239,,Quebec,1899,L. J. Demers & Frère,The Plains of Abraham,,BROTANEK,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000008239,British Library HMNTS 10470.ff.20.
000008435,,London,1892,Effingham Wilson & Co.,The Witwatersrand Gold Mines. A true and unvarnished account of their origin and progress ... Translated ... by H. C. Simonsen,ABRAHAM,SIMONSEN,,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000008435,British Library HMNTS 7106.b.46.
